state,delayed_count,in_time_count,max_price,min_price,avg_price,order_count,delay_per
SP,192,2150,6499,300,613.5653967983594,2342,0.0820
RJ,117,716,4799,300,664.2864816214571,833,0.1405
AL,15,46,1798,300,668.1695076363985,61,0.2459
CE,30,141,2690,309,574.4300001713268,171,0.1754
MG,60,716,4099.990234375,300,629.7481699284818,776,0.0773
PI,6,53,1780,300,611.0667797023967,59,0.1017
RS,30,323,3124,300,614.5100844602072,353,0.0850
ES,17,104,6729,305,670.5565286431431,121,0.1405
SC,20,246,3109.989990234375,300,645.2918431561692,266,0.0752
MS,9,49,6735,320,843.1213768268453,58,0.1552
GO,15,157,2740,301,570.0772666044013,172,0.0872
BA,45,229,2999.889892578125,300,653.6623717816207,274,0.1642
PR,17,316,2999.989990234375,301,626.0183788219372,333,0.0511
TO,5,27,2649.989990234375,325,692.2043752670288,32,0.1563
DF,6,132,3999,319,716.553188600402,138,0.0435
PE,20,150,3700,307.29998779296875,594.0843532786649,170,0.1176
RO,2,26,2400,313.8999938964844,786.9596481323242,28,0.0714
PB,11,79,4590,300,706.3667789035374,90,0.1222
SE,9,34,1670,329.8999938964844,576.6546510208485,43,0.2093
PA,13,104,3980,300,698.6266672509348,117,0.1111
MT,8,95,1890,309.8999938964844,624.7083512093257,103,0.0777
MA,18,58,2499.75,303.989990234375,611.0538161428351,76,0.2368
RN,5,49,1788,303.45001220703125,675.431485776548,54,0.0926
AC,1,10,1200,300,637.2263627485795,11,0.0909
AM,1,10,1688,343.3999938964844,744.3827320445668,11,0.0909
AP,1,7,1437,349.8999938964844,733.5037498474121,8,0.1250
RR,1,2,949.9000244140625,349,665.9666748046875,3,0.3333
NULL,0,1,549,549,549,1,0.0000
